bigram phrase,frequency
to take,13
truly sorry,13
heart and,13
my spirit,13
come to,13
father i,13
move on,13
need to,13
going home,13
one day,13
sorry and,13
you must,13
that we,13
know how,13
friends and,13
the last,12
not the,12
first of,12
an innocent,12
with my,12
my mother,12
me that,12
you warden,12
that they,12
and support,12
we must,12
they have,12
that it,12
i'm not,12
i see,12
your love,12
don't want,12
you in,12
home i,12
i feel,12
to have,12
has been,12
everybody i,12
that he,12
and suffering,12
being here,12
the state,12
all that,12
thank all,12
on my,12
we have,12
with god,12
is what,12
done for,11
to them,11
are my,11
like a,11
being there,11
innocent man,11
my mom,11
had a,11
he was,11
tell the,11
to a,11
each and,11
i'll see,11
know it,11
and every,11
say this,11
is happening,11
am a,11
as a,11
no one,11
in a,11
you i'm,11
all these,11
every one,11
will always,11
family of,11
go ahead,11
for their,11
be a,11
is that,11
home to,11
not have,11
i said,11
what they,11
a man,11
and thank,11
we are,11
god for,11
mercy on,11
time to,10
support and,10
able to,10
my brother,10
it's not,10
i leave,10
go home,10
ask you,10
so i,10
are a,10
that god,10
first i,10
is going,10
this world,10
heart to,10
too i,10
to ask,10
forgiveness and,10
that i'm,10
give them,10
as we,10
to hurt,10
of people,10
you jesus,10
of god,10
in america,10
have mercy,10
you on,10
be done,10
i guess,10
strong and,10
love for,10
me a,10
not know,10
you take,10
can say,10
the time,10
again i,10
better place,10
wish i,10
over the,10
been there,10
let me,10
all right,10
family to,10
i'm going,10
all you,10
much i,10
and everybody,10
to love,10
you thank,10
loved one,10
death penalty,10
he has,10
all to,9
she is,9
have a,9
mom i,9
your head,9
i wanted,9
me all,9
to live,9
not going,9
and family,9
forgive us,9
of them,9
these years,9
give me,9
may god,9
am innocent,9
you very,9
apologize for,9
chance to,9
i've done,9
we all,9
am so,9
you may,9
by me,9
head up,9
and your,9
is wrong,9
but the,9
to die,9
make sure,9
be waiting,9
i understand,9
and in,9
but you,9
the right,9
do what,9
years ago,9
by the,9
so sorry,9
can forgive,9
mom and,9
to address,9
brothers and,9
and a,9
pain that,9
and forgive,9
not kill,9
you peace,9
your support,9
pray for,9
i forgive,9
the end,9
and let,9
if there,9
because of,9
jesus i,9
to move,9
thank god,9
crime i,9
there i,9
this time,9
just like,9
right now,8
was not,8
does not,8
back i,8
my sister,8
your son,8
a chance,8
all stay,8
of texas,8
it yes,8
that the,8
look at,8
family thank,8
i mean,8
you so,8
to talk,8
the things,8
you through,8
have shown,8
is nothing,8
it has,8
waiting for,8
kids i,8
go through,8
to let,8
there and,8
the rest,8
nothing i,8
will forgive,8
like i,8
even though,8
all warden,8
giving me,8
your life,8
talk to,8
i won't,8
get there,8
is just,8
the spirit,8
love is,8
i thought,8
as well,8
me my,8
would not,8
my lord,8
through the,8
love each,8
a great,8
time i,8
family that,8
get my,8
give up,8
christ i,8
hope this,8
it to,8
though i,8
here and,8
let them,8
this day,8
them for,8
heavenly father,8
me you,8
through all,8
those that,8
to stay,8
to happen,8
is in,8
my father,8
would be,8
given me,8
for this,8
support i,8
and we,8
it would,8
and it,8
evil for,8
me thank,8
i told,8
your loved,8
you mom,8
the man,8
up i,8
you lord,8
happened i,8
things i,8
and know,8
thank the,8
have had,8
to everybody,8
and love,8
supported me,8
everything that,8
me god,8
a long,8
on i,8
and that's,8
and get,7
a part,7
myself i,7
to this,7
ah i,7
the life,7
and i'll,7
they know,7
you need,7
keep marching,7
this crime,7
take it,7
for something,7
for coming,7
you that,7
but they,7
feel it,7
always be,7
keep on,7
y'all to,7
the power,7
everything i,7
my son,7
to find,7
always been,7
said i,7
ya'll i,7
with a,7
i took,7
strong i,7
anything to,7
wrong i,7
i made,7
got a,7
worry about,7
and stay,7
jesus is,7
is it,7
against me,7
love i,7
baby i,7
and god,7
know the,7
your hearts,7
kill your,7
i'm gonna,7
father and,7
with this,7
will find,7
suffering i,7
not do,7
it and,7
the one,7
and loved,7
life for,7
sorry to,7
that are,7
gave me,7
rest of,7
us from,7
we know,7
go to,7
black people,7
let you,7
our father,7
about it,7
today i,7
them to,7
didn't do,7
had the,7
of death,7
trying to,7
of yourselves,7
he is,7
and sisters,7
my daughter,7
day i,7
the kids,7
lord is,7
thanks to,7
not be,7
from this,7
be able,7
a little,7
y'all i,7
love in,7
of these,7
it but,7
christ and,7
will have,7
me as,7
i apologize,7
have always,7
had to,7
for them,7
and make,7
the system,7
people who,7
the house,7
thy will,7
am very,7
very sorry,7
do to,7
to god,7
this to,7
to heaven,7
are all,7
you this,7
that and,7
i'd like,7
them all,7
was just,7
state of,7
ones i,7
did this,7
happening here,7
hear me,7
did to,7
on earth,7
where i,7
ready yes,7
a blessing,7
the row,7
one i,7
told me,7
peace with,7
now you,7
tell everyone,7
man that,6
all have,6
if we,6
i came,6
showed me,6
you there,6
what was,6
there you,6
not to,6
their support,6
who are,6
son and,6
look after,6
believe that,6
for not,6
just ask,6
to kill,6
is right,6
as my,6
of yourself,6
at this,6
i'm innocent,6
something i,6
irene i,6
supporting me,6
helped me,6
my last,6
that in,6
don't give,6
am glad,6
way i,6
mad at,6
address the,6
will come,6
dad i,6
just as,6
this brings,6
to understand,6
people will,6
want y'all,6
to put,6
forgiven me,6
one that,6
to prove,6
don't think,6
supposed to,6
the guys,6
and if,6
with it,6
the glory,6
my people,6
me but,6
thank them,6
sister i,6
so many,6
that there,6
let's do,6
them know,6
that all,6
tonight i,6
from evil,6
forgiveness for,6
to witness,6
there were,6
give my,6
they will,6
am i,6
in jesus,6
of what,6
the polunsky,6
the good,6
do this,6
for that,6
god loves,6
years and,6
i call,6
find the,6
me of,6
name of,6
k i,6
as long,6
shown me,6
heaven i,6
and do,6
that she,6
him i,6
looking for,6
us and,6
will continue,6
make a,6
give us,6
not i,6
you do,6
and tell,6
i believe,6
man and,6
leave this,6
my innocence,6
and irene,6
it will,6
know who,6
me please,6
and i'm,6
say a,6
right warden,6
kind of,6
allah we,6
we can,6
long as,6
thing i,6
was in,6
it's going,6
up for,6
me through,6
fixing to,6
he will,6
through i,6
don't have,6
all this,6
i take,6
you yes,6
forgive them,6
you please,6
lord for,6
my kids,6
and ask,6
for putting,6
god will,6
are the,6
deliver us,6
what it,6
the name,6
as it,6
i done,6
say is,6
i give,6
there with,6
people i,6
have made,6
thy name,6
you stay,6
of ya'll,6
i come,6
you god,6
her and,6
what i've,6
mother and,6
did it,6
innocent and,6
they did,6
saying i,6
must continue,6
god has,6
not want,6
appreciate all,6
all in,6
for giving,6
father walsh,6
goodbye i,6
my supporters,6
death i,6
have given,6
hurt you,6
goes on,6
come out,6
you think,6
you love,6
to show,6
a letter,6
me i'm,6
move forward,6
only the,6
one another,6
on this,6
these people,6
you my,6
you were,6
do with,6
up in,5
faith in,5
see me,5
that killed,5
for standing,5
am here,5
murder i,5
but for,5
died for,5
you could,5
i commit,5
being a,5
here to,5
us our,5
on me,5
out to,5
you the,5
up to,5
name i,5
is lord,5
i should,5
learn to,5
is i,5
ready i,5
the past,5
don't forget,5
more than,5
here today,5
not commit,5
the texas,5
nothing but,5
mean i,5
not into,5
goodbye to,5
may not,5
things that,5
here for,5
see the,5
jesus for,5
let it,5
temptation but,5
me when,5
no matter,5
before me,5
won't be,5
of love,5
done and,5
my shepherd,5
the kingdom,5
day to,5
be here,5
have come,5
anyone i,5
see y'all,5
a crime,5
for his,5
the peace,5
daughter i,5
on and,5
ones that,5
in christ,5
would just,5
the ones,5
about the,5
you when,5
we need,5
i cannot,5
in some,5
can be,5
only thing,5
are still,5
y'all and,5
with your,5
lord and,5
to worry,5
if my,5
fine i,5
at my,5
like you,5
last statement,5
christ jesus,5
everyone know,5
of us,5
all for,5
can give,5
our daily,5
let this,5
come thy,5
take this,5
appreciate you,5
who you,5
change the,5
for it,5
down and,5
us all,5
bless all,5
praise the,5
now it,5
nothing to,5
have happened,5
you irene,5
into temptation,5
lord to,5
spirit of,5
about that,5
of it,5
you forgive,5
over you,5
down in,5
i get,5
am just,5
you people,5
strong for,5
ask the,5
place i,5
am still,5
back on,5
in his,5
are you,5
and ms,5
to stop,5
see them,5
name thy,5
prayed for,5
kingdom come,5
and mr,5
mean to,5
that have,5
that did,5
who was,5
not just,5
done on,5
i hurt,5
help i,5
just hope,5
and now,5
for any,5
bury me,5
earth as,5
you with,5
but we,5
listen to,5
don't cry,5
am really,5
warden i'm,5
me over,5
have forgiven,5
think i,5
know is,5
bread and,5
what to,5
as you,5
this with,5
i always,5
never meant,5
but deliver,5
but if,5
else to,5
it's all,5
us this,5
power and,5
ask god,5
of mine,5
heaven give,5
you keep,5
out for,5
of those,5
grief i,5
did and,5
everyone i,5
have the,5
done in,5
the trial,5
will keep,5
you again,5
around the,5
god and,5
be watching,5
the strength,5
live your,5
to your,5
understand that,5
it i'm,5
give thanks,5
just wanted,5
know where,5
father who,5
a prayer,5
a life,5
for everybody,5
he had,5
believe me,5
how much,5
me on,5
all those,5
to everyone,5
all take,5
see my,5
my head,5
y'all take,5
not a,5
will give,5
and everything,5
over there,5
all yes,5
innocent i,5
the beautiful,5
friends that,5
and be,5
caused them,5
how to,5
right i,5
in any,5
going i,5
is something,5
my attorneys,5
my trial,5
and peace,5
is an,5
god to,5
didn't kill,5
something that,5
be alright,5
apologize and,5
people are,5
care i,5
to what,5
lead us,5
friends for,5
extend my,5
sir to,5
you be,5
killing me,5
sins i,5
i truly,5
you see,5
me now,5
don't be,5
didn't mean,5
is about,5
i'm done,5
that my,5
christ for,5
see this,5
all ya'll,5
everybody else,5
it's been,5
loves you,5
not mad,5
all be,5
he would,5
i also,5
been the,5
daily bread,5
amen i,5
we forgive,5
their hearts,5
lord take,5
for those,5
and father,5
us not,5
am happy,5
i've got,5
thy kingdom,5
receive my,5
my own,5
to sleep,5
that this,5
ago i,5
are doing,5
has done,5
momma i,5
guys i,5
here i'm,5
at me,5
it all,5
my loved,5
day our,5
to continue,5
to help,5
leadeth me,5
this execution,5
he leadeth,5
back to,5
think of,4
and lead,4
of me,4
this earth,4
there to,4
say goodbye,4
it wasn't,4
to y'all,4
will gain,4
could have,4
just pray,4
people you,4
is here,4
the public,4
return i,4
lie down,4
will take,4
i promise,4
unto allah,4
be forgotten,4
you had,4
into the,4
try to,4
the first,4
person that,4
our sins,4
years that,4
a police,4
son i,4
keep the,4
long time,4
life goes,4
the shadow,4
let my,4
here is,4
not here,4
god in,4
make the,4
keep me,4
things you,4
wake up,4
of christ,4
no god,4
on it,4
i may,4
the days,4
god have,4
my little,4
way to,4
that love,4
the back,4
give everybody,4
marching black,4
be o,4
see ya'll,4
love the,4
this and,4
just and,4
guys on,4
if it,4
who art,4
hearts i,4
peace you,4
mother i,4
soul he,4
nothing else,4
for each,4
kingdom and,4
nothing against,4
would also,4
art in,4
tell them,4
alright i,4
just keep,4
the still,4
all thank,4
your friendship,4
the officers,4
say but,4
green pastures,4
like this,4
i've been,4
watching over,4
is love,4
police officer,4
this lynching,4
and find,4
everybody that,4
and nephews,4
for thine,4
in texas,4
john adams,4
love ya,4
a friend,4
head with,4
caused your,4
truth is,4
she was,4
and they,4
so you,4
thing to,4
the person,4
that's what,4
them thank,4
this moment,4
you later,4
tell all,4
heaven hallowed,4
god forgive,4
your mother,4
jesus receive,4
i walk,4
there was,4
about to,4
my eyes,4
have loved,4
will not,4
say god,4
i'm saying,4
miss you,4
have never,4
you baby,4
it back,4
said that,4
but allah,4
sure that,4
the media,4
forgiveness because,4
a moratorium,4
putting you,4
it up,4
may you,4
any way,4
call her,4
tell her,4
and savior,4
the son,4
know he,4
into your,4
some things,4
you just,4
and happiness,4
beside the,4
day we,4
of justice,4
why i,4
can do,4
can move,4
the phone,4
from god,4
polunsky dungeon,4
not for,4
you a,4
you feel,4
this life,4
it didn't,4
on them,4
i hate,4
your name,4
support you,4
life to,4
i think,4
and liberation,4
suffering that,4
that y'all,4
god that,4
made a,4
me this,4
y'all have,4
with him,4
hope they,4
valley of,4
your hands,4
truth will,4
i put,4
and pray,4
can't say,4
have peace,4
me thou,4
row and,4
my body,4
no evil,4
standing with,4
pray this,4
what a,4
please lord,4
good i,4
as the,4
walk through,4
the press,4
from my,4
ask forgiveness,4
want he,4
side i,4
me so,4
fear no,4
them in,4
i hold,4
with oil,4
that was,4
it warden,4
of y'all,4
the police,4
last words,4
you believe,4
hate me,4
shepherd i,4
a mistake,4
loved me,4
for two,4
by my,4
to lie,4
my cup,4
art with,4
freedom and,4
bye bye,4
give it,4
go warden,4
sooner or,4
to end,4
any means,4
in prison,4
peace to,4
forgive those,4
self defense,4
just a,4
any of,4
have my,4
nieces and,4
coming home,4
for having,4
hold no,4
you can't,4
must be,4
thine is,4
the opportunity,4
well i,4
by any,4
table before,4
i belong,4
to express,4
that one,4
other i,4
all tell,4
to change,4
do is,4
i left,4
gonna be,4
you give,4
her to,4
may be,4
family members,4
being with,4
be i,4
john gomez,4
and them,4
mama i,4
was an,4
on that,4
really sorry,4
and ever,4
sisters and,4
the reason,4
heaven and,4
down here,4
a few,4
understand i,4
for supporting,4
can only,4
make it,4
lord have,4
me free,4
before i,4
for killing,4
are not,4
my children,4
bring them,4
the wrong,4
and have,4
in that,4
no way,4
back but,4
you wanted,4
lord god,4
of pain,4
everybody my,4
other people,4
that jesus,4
have helped,4
with christ,4
your sister,4
you momma,4
i confess,4
hope he,4
god but,4
will go,4
with love,4
to him,4
because they,4
happy i,4
the valley,4
put you,4
i deserve,4
this case,4
and it's,4
are no,4
locked up,4
about what,4
hope it,4
them back,4
us the,4
about this,4
person i,4
tonight and,4
my actions,4
i've caused,4
officer boswell,4
commit my,4
just sorry,4
waters he,4
the families,4
comfort in,4
help them,4
will all,4
brings you,4
ready for,4
your daughter,4
taste it,4
presence of,4
never been,4
will fear,4
the faith,4
lot i,4
as for,4
let everyone,4
standing by,4
all he,4
dwell in,4
to allah,4
well as,4
and he,4
warden thank,4
some kind,4
pastures he,4
that will,4
that if,4
know i'm,4
forgive all,4
have taken,4
to fight,4
and their,4
can you,4
thou art,4
for taking,4
to anybody,4
hearts and,4
loving me,4
for one,4
for thou,4
ya'll i'm,4
you as,4
let the,4
all keep,4
you hear,4
on you,4
also like,4
texas has,4
hold nothing,4
means necessary,4
to it,4
up the,4
and may,4
is your,4
friend i,4
against us,4
world and,4
i go,4
about me,4
than i,4
can feel,4
have ever,4
the bad,4
ya'll take,4
still waters,4
to mr,4
he did,4
be careful,4
you both,4
ahead and,4
one and,4
who i,4
shall not,4
stop the,4
i lay,4
i still,4
get in,4
was going,4
in green,4
back and,4
from you,4
me here,4
preparest a,4
yea though,4
all your,4
k warden,4
ain't no,4
life of,4
you who,4
coming to,4
then i,4
world i,4
in there,4
thou preparest,4
jack and,4
a table,4
oil my,4
me beside,4
i shall,4
watch over,4
had nothing,4
people of,4
life thank,4
gives you,4
let's go,4
the presence,4
take the,4
me know,4
and everyone,4
see all,4
remember what,4
much thank,4
pray and,4
here tonight,4
or later,4
matter what,4
and strength,4
shadow of,4
that a,4
he restoreth,3
paths of,3
yours and,3
the grief,3
in her,3
oh lord,3
in hell,3
will dwell,3
allah and,3
it's alright,3
away from,3
grace and,3
forget me,3
but my,3
happen i,3
to demand,3
trespass against,3
they forgive,3
murdering me,3
sake yea,3
am fine,3
strength in,3
there that,3
gonna stop,3
i'm still,3
in life,3
responsible for,3
me there,3
rights give,3
and soul,3
now but,3
house of,3
always returns,3
these words,3
restoreth my,3
this so,3
hard to,3
follow me,3
for i,3
and right,3
to pray,3
jack king,3
death brings,3
people and,3
how i,3
love so,3
thought it,3
remorse for,3
am being,3
forever i,3
the crime,3
say first,3
can't take,3
love everyone,3
all y'all,3
and so,3
and take,3
how sorry,3
as to,3
what i'm,3
life you,3
you look,3
deserve this,3
days of,3
precious to,3
she did,3
or three,3
this murder,3
ones and,3
can taste,3
and other,3
tell mama,3
but he,3
mr johnson,3
whole life,3
myself and,3
stood by,3
we extend,3
keep going,3
me love,3
any pain,3
and her,3
get to,3
your loss,3
feel sorry,3
have not,3
and comfort,3
learn from,3
everyone to,3
all executions,3
jesus name,3
the video,3
video tapes,3
me by,3
should have,3
hope and,3
in you,3
a statement,3
anointest my,3
i die,3
people to,3
islam i,3
life in,3
home lord,3
supreme court,3
not only,3
find out,3
equal justice,3
sorry my,3
of her,3
life sentence,3
due to,3
out and,3
of any,3
for they,3
are people,3
my words,3
irene wilcox,3
they do,3
i ain't,3
even know,3
used to,3
your faith,3
knew it,3
and sister,3
allah the,3
to father,3
and say,3
thats all,3
let's get,3
speak to,3
hands i,3
of life,3
is one,3
me with,3
hollered for,3
responsibility for,3
with us,3
not doing,3
has given,3
that i've,3
a beautiful,3
an accident,3
he gave,3
and being,3
this be,3
how we,3
get the,3
none of,3
can i,3
i wasn't,3
after that,3
my lawyer,3
trial i,3
i went,3
there waiting,3
happened and,3
like me,3
have suffered,3
this will,3
been sorry,3
tried to,3
type of,3
after this,3
when it,3
my parents,3
it meant,3
all a,3
not being,3
could to,3
from allah,3
don't need,3
got the,3
robinson family,3
the revolution,3
i gave,3
i ever,3
stop us,3
a tragedy,3
i need,3
could bring,3
brought us,3
what y'all,3
always i,3
this evidence,3
her heart,3
if he,3
lot to,3
merciful and,3
been praying,3
you would,3
all here,3
trespasses as,3
through his,3
moratorium on,3
to jesus,3
in to,3
all that's,3
please find,3
sorry it,3
where you,3
name's sake,3
asked if,3
been like,3
that got,3
hope to,3
it you,3
deserve to,3
not give,3
for helping,3
the loss,3
their love,3
and what,3
everything you,3
house and,3
told you,3
his name's,3
am an,3
remember the,3
statement to,3
have anything,3
and sorrow,3
and mercy,3
who trespass,3
my peace,3
who support,3
them a,3
each one,3
death and,3
lost a,3
me take,3
you go,3
bear witness,3
the warden,3
him to,3
time that,3
do that,3
know god,3
appreciate it,3
do apologize,3
the robinson,3
since i,3
loss of,3
can't see,3
sorry about,3
my time,3
peace god,3
and pain,3
jesus take,3
letter i,3
everything in,3
never knew,3
set me,3
strength that,3
today and,3
penalty in,3
bobby lambert,3
everybody to,3
no man,3
lord will,3
media i,3
he maketh,3
everyone that,3
done everything,3
your father,3
use this,3
i received,3
good to,3
hope everybody,3
can't change,3
the few,3
goodness and,3
mama and,3
is so,3
changed me,3
that night,3
mr and,3
in court,3
everything is,3
for christ,3
the kindness,3
you got,3
dying for,3
the paths,3
killing is,3
and don't,3
today for,3
anything i,3
no animosity,3
with ya'll,3
life is,3
happened but,3
bring back,3
to ya'll,3
how many,3
everyone of,3
watch out,3
past i,3
and give,3
pain to,3
folks in,3
god please,3
to blame,3
hurt i,3
being my,3
sorrow and,3
pray to,3
opportunity to,3
you've done,3
praying for,3
say anything,3
and thanks,3
who is,3
am asking,3
praise jesus,3
realize that,3
one time,3
my gun,3
still a,3
and respect,3
am saying,3
ba bump,3
appreciate your,3
has to,3
am the,3
they want,3
please i,3
one thing,3
talk about,3
the prosecutor,3
on in,3
thank everybody,3
get ready,3
with jesus,3
wish you,3
their loved,3
to these,3
sorry that's,3
warden let's,3
didn't know,3
the bottom,3
this country,3
it does,3
know this,3
way you,3
on him,3
my cousins,3
god almighty,3
right thing,3
here on,3
commit i,3
took a,3
like we,3
no remorse,3
love me,3
much you,3
for whatever,3
all people,3
maketh me,3
way and,3
appreciate the,3
brothers i,3
let's ride,3
the west,3
me tell,3
are murdering,3
who has,3
but it's,3
forward and,3
and no,3
and not,3
but i'm,3
believe i,3
am responsible,3
does i,3
we use,3
david dow,3
guess that's,3
that's the,3
all know,3
members of,3
glad it,3
how it,3
holy merciful,3
family is,3
made peace,3
have killed,3
you lost,3
on all,3
don't do,3
that peace,3
next to,3
please tell,3
men on,3
proceed warden,3
forgive you,3
three people,3
miracle i,3
everybody and,3
jesus thank,3
my beautiful,3
sorry please,3
family all,3
have some,3
to hear,3
think this,3
that ah,3
last few,3
gotta do,3
our freedom,3
not murder,3
like the,3
his life,3
now is,3
asking for,3
forever and,3
father to,3
you but,3
to feel,3
done anything,3
don't see,3
pam i,3
your parents,3
my only,3
in church,3
want the,3
gain our,3
to face,3
y'all in,3
love yall,3
jesus mercy,3
hurt a,3
when he,3
want everybody,3
them father,3
all forgive,3
to hold,3
reason for,3
god knows,3
there if,3
what else,3
to itself,3
row i,3
it's my,3
no hate,3
we were,3
a cold,3
family who,3
many people,3
got my,3
have i,3
express my,3
way god,3
went to,3
all god,3
needed to,3
i bear,3
the light,3
to wake,3
that way,3
it won't,3
best i,3
comfort and,3
right to,3
ever amen,3
my rights,3
them that,3
want everyone,3
because this,3
the future,3
me down,3
of each,3
surely goodness,3
the gun,3
my family's,3
my mama,3
kill me,3
helping me,3
could not,3
a father,3
praise god,3
peace we,3
has always,3
i wrote,3
pray with,3
him for,3
send me,3
this all,3
my god,3
can't i,3
have asked,3
than you,3
strong all,3
needs help,3
keep my,3
that ya'll,3
ask him,3
say it,3
needs to,3
a miracle,3
not let,3
happened to,3
the court,3
take back,3
these days,3
at all,3
me first,3
of statement,3
returns to,3
that has,3
was never,3
cup runneth,3
love everybody,3
change anything,3
lynching will,3
committed to,3
pain i've,3
sorrow i,3
everybody has,3
mother for,3
from your,3
what ya'll,3
of their,3
you want,3
to look,3
forgive and,3
just thank,3
at least,3
and will,3
keep fighting,3
her too,3
being the,3
over surely,3
english i,3
are here,3
y'all be,3
have nothing,3
to praise,3
your mercy,3
justice system,3
i return,3
they can,3
came and,3
their heart,3
that can,3
never forget,3
the beginning,3
mine i,3
who stood,3
say in,3
never wanted,3
keeping me,3
mom that,3
be thy,3
brothers on,3
he said,3
done to,3
end of,3
be more,3
came in,3
may we,3
was there,3
a lie,3
are i,3
the struggle,3
you tell,3
reach down,3
lord forever,3
all all,3
had in,3
i live,3
truth and,3
the deceased,3
wrong to,3
our trespasses,3
daughter and,3
get your,3
be avenged,3
to i,3
come home,3
who did,3
his family,3
could take,3
is over,3
know if,3
like for,3
family too,3
part in,3
it helps,3
hope all,3
to start,3
two or,3
runneth over,3
ya'll are,3
and others,3
witness that,3
and innocent,3
for loving,3
really am,3
happening to,3
my statement,3
the real,3
you call,3
also want,3
day you,3
we may,3
there he,3
nobody i,3
done this,3
much for,3
thou anointest,3
into my,3
meant to,3
our love,3
tonight we,3
confess my,3
remember me,3
but that's,3
enemies thou,3
throughout this,3
put this,3
here but,3
for hurting,3
everybody know,3
really do,3
people out,3
put me,3
letting me,3
than me,3
is with,3
this that,3
am alright,3
at your,3
her for,3
is time,3
no more,3
you today,3
took place,3
but in,3
church and,3
use to,3
faith and,3
go back,3
get this,3
mine enemies,3
know your,3
and dad,3
you man,3
it takes,3
was forced,3
almighty god,3
think that,3
ways that,3
you've been,3
can't give,3
go out,3
for bringing,3
left the,3
that took,3
caused i,3
what's happening,3
of that,3
forced to,3
yes warden,3
love that,3
should not,3
of here,3
was right,3
ok warden,3
cold blooded,3
sorry you,3
kill bobby,3
side okay,3
and there,3
my daughters,3
have accepted,3
we got,3
march on,3
have gone,3
now and,3
has forgiven,3
will bring,3
allah i,3
say i'm,3
y'all know,3
mercy shall,3
to point,3
night i,3
been wonderful,3
strong you,3
a sinner,3
were in,3
time for,3
pray you,3
years of,3
row who,3
asked the,3
have said,3
for ever,3
that you're,3
god forgives,3
may proceed,3
something will,3
mr price,3
here because,3
other like,3
is any,3
yeah i,3
take my,3
father god,3
go and,3
still have,3
the letter,3
ya'll will,3
soul and,3
her the,3
and mighty,3
christ is,3
up keep,3
for letting,3
24 years,3
know me,3
take that,3
shall follow,3
hope the,3
care and,3
think you,3
row to,3
rest in,3
loss and,3
one who,3
help you,3
fight you,3
wait for,3
me keep,3
on behalf,2
love will,2
kill them,2
few minutes,2
be merciful,2
that's why,2
country we,2
my execution,2
which i,2
clayton and,2
we give,2
be my,2
do i'd,2
yes man,2
lord the,2
showing up,2
their life,2
miss ya'll,2
and care,2
murder this,2
way in,2
is supposed,2
strong continue,2
home i'm,2
all so,2
no last,2
about those,2
justice i,2
be fine,2
am dying,2
doesn't bring,2
couple of,2
'em and,2
this happened,2
mr amp,2
country that,2
dawn hewitt,2
unto thy,2
life that,2
only statement,2
you brother,2
world see,2
me what,2
be back,2
and north,2
who lives,2
am done,2
mercy and,2
done i've,2
get through,2
days i'm,2
me will,2
no love,2
him a,2
don't worry,2
and ah,2
give him,2
home the,2
was to,2
place on,2
be at,2
rosalyn i,2
me thy,2
over and,2
laura i,2
the victims,2
spoke to,2
happened it,2
